"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2015","","","","186279"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010310","Purebred breeding animals","A","Annual","A","Annual","USD","US$","2016","","","","201229"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","010391","Weighing less than 50 kg","A","Annual","A","Annual","USD","US$","2012","","","","66950"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2012","","","","41953852"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2013","","","","49456245"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2014","","","","38991763"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2011","","","","41866847"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2010","","","","29801596"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2015","","","","351204"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2002","","","","9322641"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2003","","","","10025742"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2005","","","","12948943"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2006","","","","13038942"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2004","","","","585054"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2009","","","","26980530"
"Bilateral imports by detailed HS codes (2,4,6 digit)","HS_M_0010","Bilateral imports by detailed HS codes (2,4,6 digit)","156","CHN","China","840","USA","United States of America","HS","Harmonized System","0105","Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.","A","Annual","A","Annual","USD","US$","2007","","","","15688622"
